time,accurate,cf_over_specified,cf_under_specified,cf_over_and_under_specified,errored,definder_version,audit_creation_version
1607227843.8192823,2934,807,1864,994,273,2.7.0,4
1607231352.281499,2934,807,1864,994,273,2.7.0,4
1607234975.3032482,2934,807,1864,994,273,2.7.0,4
1607238580.9974115,2934,807,1864,994,273,2.7.0,4
1607242191.2424653,2934,807,1864,994,273,2.7.0,4
1607245756.9228811,2934,807,1864,994,273,2.7.0,4
1607249375.0918696,2934,807,1864,994,273,2.7.0,4
1607252936.9221535,2934,807,1864,994,273,2.7.0,4
1607256656.2459197,2934,807,1864,994,273,2.7.0,4
1607260140.2125454,2934,807,1864,994,273,2.7.0,4
1607263781.0487683,2934,807,1864,994,273,2.7.0,4
1607267342.190135,2934,807,1864,994,273,2.7.0,4
1607271042.1875126,2934,807,1864,994,273,2.7.0,4
1607274770.8594675,2934,807,1864,994,273,2.7.0,4
1607278147.1630971,2934,807,1864,994,273,2.7.0,4
1607281796.456068,2933,807,1865,994,273,2.7.0,4
1607285363.8821657,2933,807,1865,994,273,2.7.0,4
1607288934.2291548,2933,807,1865,994,273,2.7.0,4
1607292638.063973,2933,807,1865,994,273,2.7.0,4
1607296136.4118404,2933,807,1865,994,273,2.7.0,4
1607300171.3079295,2933,807,1865,994,273,2.7.0,4
1607304824.4574533,2933,807,1865,994,273,2.7.0,4
1607307201.7205212,2933,807,1864,995,273,2.7.0,4
1607310602.3932846,2933,807,1864,995,273,2.7.0,4
1607314270.750312,2933,807,1864,995,273,2.7.0,4
1607317774.288066,2933,807,1864,995,273,2.7.0,4
1607321446.4167573,2934,807,1864,995,272,2.7.0,4
1607325003.0794985,2934,807,1864,995,272,2.7.0,4
1607328648.0537758,2934,808,1864,995,272,2.7.0,4
1607332192.083117,2934,808,1864,996,271,2.7.0,4
1607335784.6391647,2934,808,1864,996,271,2.7.0,4
1607339363.8808515,2934,808,1864,996,271,2.7.0,4
1607343067.447204,2932,807,1866,997,271,2.7.0,4
1607346577.4635582,2932,807,1867,996,271,2.7.0,4
1607350229.2989378,2932,807,1867,997,271,2.7.0,4
1607353796.5673256,2931,807,1868,997,271,2.7.0,4
1607357532.887925,2931,807,1868,998,271,2.7.0,4
1607361240.9893894,2931,807,1868,998,271,2.7.0,4
1607364556.331992,2931,807,1868,998,271,2.7.0,4
1607368175.859911,2934,807,1869,999,271,2.7.0,4
1607371773.7035494,2934,807,1869,1000,270,2.7.0,4
1607375377.3979297,2934,807,1869,1000,270,2.7.0,4
1607379039.6015785,2934,807,1869,1000,270,2.7.0,4
1607382623.0604124,2934,807,1869,1000,270,2.7.0,4
1607386585.371346,2934,807,1869,1000,270,2.7.0,4
1607391217.0193403,2935,807,1869,1000,270,2.7.0,4
1607393643.5866532,2935,807,1869,1000,270,2.7.0,4
1607396981.8972821,2935,807,1869,1000,270,2.7.0,4
1607400652.3835673,2935,807,1869,1000,270,2.7.0,4
1607404155.3413484,2935,807,1869,1000,270,2.7.0,4
1607407802.576202,2935,807,1869,1000,270,2.7.0,4
1607411368.2985175,2935,807,1869,1000,270,2.7.0,4
1607415077.3795257,2935,807,1869,1000,270,2.7.0,4
1607418554.4353864,2935,807,1869,1000,270,2.7.0,4
1607422215.1109488,2935,807,1869,1000,270,2.7.0,4
1607425794.8865802,2937,810,1869,1000,270,2.7.0,4
1607429527.360964,2937,809,1869,1001,270,2.7.0,4
1607432975.0850387,2937,809,1869,1001,270,2.7.0,4
1607436627.6144795,2937,809,1869,1001,270,2.7.0,4
1607440167.6463938,2938,808,1869,1001,270,2.7.0,4
1607443925.8145912,2938,808,1869,1001,270,2.7.0,4
1607447678.566298,2938,808,1869,1001,270,2.7.0,4
1607451018.0421958,2939,808,1868,1002,269,2.7.0,4
1607454709.2468681,2939,808,1868,1002,269,2.7.0,4
1607458129.3422704,2939,808,1868,1002,269,2.7.0,4
1607461799.0836363,2939,808,1868,1002,269,2.7.0,4
1607465486.5712092,2939,808,1868,1002,269,2.7.0,4
1607469005.4445927,2939,808,1868,1002,269,2.7.0,4
1607473001.5609102,2940,808,1868,1002,269,2.7.0,4
1607477656.5515444,2941,808,1868,1002,269,2.7.0,4
1607480151.4012983,2941,808,1868,1002,269,2.7.0,4
1607483417.0371366,2941,808,1868,1002,269,2.7.0,4
1607487053.5447297,2940,809,1868,1002,269,2.7.0,4
1607490575.6965845,2940,809,1868,1002,269,2.7.0,4
1607494254.53615,2940,809,1868,1002,269,2.7.0,4
1607497788.4736345,2940,809,1868,1002,269,2.7.0,4
1607501497.6329427,2941,808,1868,1002,269,2.7.0,4
1607504952.148554,2941,808,1868,1002,269,2.7.0,4
1607508594.5932877,2942,809,1869,1002,269,2.7.0,4
1607512237.8903575,2942,809,1869,1002,269,2.7.0,4
1607515854.8651423,2942,809,1869,1002,269,2.7.0,4
1607519403.8040915,2942,809,1869,1002,269,2.7.0,4
1607522984.6032505,2942,809,1869,1002,269,2.7.0,4
1607526611.7984858,2942,808,1869,1003,269,2.7.0,4
1607530352.596357,2942,808,1869,1003,269,2.7.0,4
1607533847.3470116,2941,809,1869,1004,268,2.7.0,4
1607537406.1402848,2941,809,1869,1004,268,2.7.0,4
1607540972.8402731,2941,809,1869,1004,268,2.7.0,4
1607544596.874583,2941,811,1869,1004,268,2.7.0,4
1607548166.7153964,2941,811,1869,1004,268,2.7.0,4
1607551848.5734603,2942,811,1870,1004,268,2.7.0,4
1607555327.7534435,2942,811,1870,1004,268,2.7.0,4
1607559424.2360435,2942,811,1870,1004,268,2.7.0,4
1607564171.6344545,2943,811,1870,1004,268,2.7.0,4
1607566646.932486,2943,811,1870,1004,268,2.7.0,4
1607569792.2500982,2943,811,1870,1004,268,2.7.0,4
1607573446.8905454,2943,811,1870,1004,268,2.7.0,4
1607576982.6513093,2944,811,1870,1004,268,2.7.0,4
1607580679.351878,2944,811,1870,1004,268,2.7.0,4
1607584156.5510182,2944,811,1870,1004,268,2.7.0,4
1607587821.641223,2944,811,1870,1004,268,2.7.0,4
1607591359.3062375,2944,811,1870,1004,268,2.7.0,4
1607595028.2346063,2945,811,1869,1004,268,2.7.0,4
1607598551.1747289,2945,811,1869,1004,268,2.7.0,4
1607602309.2634108,2945,811,1869,1004,268,2.7.0,4
1607605758.30804,2945,811,1869,1004,268,2.7.0,4
1607609434.0825722,2945,811,1870,1004,268,2.7.0,4
1607612982.814471,2945,811,1870,1004,268,2.7.0,4
1607616703.1962016,2946,810,1870,1004,268,2.7.0,4
1607620628.7165415,2946,810,1870,1004,268,2.7.0,4
1607623795.426208,2946,810,1870,1004,268,2.7.0,4
1607627351.8006618,2946,810,1870,1005,268,2.7.0,4
1607631004.4110997,2945,810,1870,1005,269,2.7.0,4
1607634530.1819603,2945,810,1870,1005,269,2.7.0,4
1607638185.9577065,2946,810,1869,1005,269,2.7.0,4
1607641776.629196,2946,810,1869,1005,269,2.7.0,4
1607645776.61369,2946,810,1869,1005,269,2.7.0,4
1607650621.0659385,2947,810,1869,1005,268,2.7.0,4
1607653073.636988,2947,810,1869,1005,268,2.7.0,4
